,연도,날짜,시간,경기,게임센터,하이라이트,TV,라디오,구장,비고,시리즈
344,2018,,17:00,롯데2vs3넥센,리뷰,하이라이트,KN-T,S-RKNN-RPM-R,고척,-,"0,9"
345,2018,05.27(일),14:00,KIA12vs1NC,리뷰,하이라이트,SPO-2T,KNN-RGM-R,마산,-,"0,9"
346,2018,,14:00,삼성2vs8두산,리뷰,하이라이트,SS-T,T-R,잠실,-,"0,9"
347,2018,,14:00,한화7vs5SK,리뷰,하이라이트,MS-T,,문학,-,"0,9"
348,2018,,14:00,LG7vs8KT,리뷰,하이라이트,SPO-T,,수원,-,"0,9"
349,2018,,14:00,롯데6vs4넥센,리뷰,하이라이트,KN-T,KNN-RPM-R,고척,-,"0,9"
350,2018,05.29(화),18:30,SKvs두산,,,KN-T,,잠실,우천취소,"0,9"
351,2018,,18:30,LG5vs3롯데,리뷰,하이라이트,SPO-2T,KNN-RPM-R,사직,-,"0,9"
352,2018,,18:30,KT14vs4삼성,리뷰,하이라이트,SS-T,T-RDM-R,대구,-,"0,9"
353,2018,,18:30,넥센12vs8KIA,리뷰,하이라이트,SPO-TK-CMB,KBC-R,광주,-,"0,9"
354,2018,,18:30,NC2vs7한화,리뷰,하이라이트,MS-TD-CMB,TJ-RKNN-RTM-RDK-R,대전,-,"0,9"
355,2018,05.30(수),18:30,SK3vs11두산,리뷰,하이라이트,KN-T,,잠실,-,"0,9"
356,2018,,18:30,LG15vs5롯데,리뷰,하이라이트,SPO-2T,KNN-RPM-R,사직,-,"0,9"
357,2018,,18:30,KT3vs4삼성,리뷰,하이라이트,SS-T,T-RDM-R,대구,-,"0,9"
358,2018,,18:30,넥센6vs1KIA,리뷰,하이라이트,SPO-TK-CMB,KBC-R,광주,-,"0,9"
359,2018,,18:30,NC4vs10한화,리뷰,하이라이트,MS-TD-CMB,TJ-RKNN-RTM-RDK-R,대전,-,"0,9"
360,2018,05.31(목),18:30,SK4vs6두산,리뷰,하이라이트,KN-T,,잠실,-,"0,9"
361,2018,,18:30,LG11vs10롯데,리뷰,하이라이트,SPO-2T,KNN-RPM-R,사직,-,"0,9"
362,2018,,18:30,KT0vs6삼성,리뷰,하이라이트,SS-T,T-R,대구,-,"0,9"
